Portrait import 2026-06-04 00:28
OK abel #1: File:AbelTasman.jpg (Public domain)
OK abel #2: File:Abel Janszoon Tasman (11313033535).jpg (CC BY-SA 2.0)
WARN al_khwarizmi: only 0 image(s), need 2
WARN apollonius: only 0 image(s), need 2
WARN archimedes: only 0 image(s), need 2
WARN arnold: only 0 image(s), need 2
WARN artin: only 0 image(s), need 2
WARN atiyah: only 0 image(s), need 2
WARN banach: only 0 image(s), need 2
WARN bernoulli_daniel: only 0 image(s), need 2
WARN bernoulli_jakob: only 0 image(s), need 2
WARN bhaskara: only 0 image(s), need 2
WARN bolzano: only 0 image(s), need 2
WARN boole: only 0 image(s), need 2
WARN brahmagupta: only 0 image(s), need 2
WARN brouwer: only 0 image(s), need 2
WARN cantor: only 0 image(s), need 2
WARN cardano: only 0 image(s), need 2
WARN cartan: only 0 image(s), need 2
WARN cauchy: only 0 image(s), need 2
WARN cayley: only 0 image(s), need 2
WARN chebyshev: only 0 image(s), need 2
WARN dedekind: only 0 image(s), need 2
WARN deligne: only 0 image(s), need 2
WARN descartes: only 0 image(s), need 2
WARN diophantus: only 0 image(s), need 2
WARN eratosthenes: only 0 image(s), need 2
WARN erdos: only 0 image(s), need 2
WARN euclid: only 0 image(s), need 2
WARN euler: only 0 image(s), need 2
WARN faltings: only 0 image(s), need 2
WARN fermat: only 0 image(s), need 2
WARN fibonacci: only 0 image(s), need 2
WARN fourier: only 0 image(s), need 2
WARN frege: only 0 image(s), need 2
WARN galileo: only 0 image(s), need 2
WARN galois: only 0 image(s), need 2
WARN gauss: only 0 image(s), need 2
WARN gelfand: only 0 image(s), need 2
WARN godel: only 0 image(s), need 2
OK gromov #1: File:\u0410\u043b\u0435\u043a\u0441\u0435\u0439 \u0410\u043b\u0435\u043a\u0441\u0435\u0435\u0432\u0438\u0447 \u0413\u0440\u043e\u043c\u043e\u0432.jpg (CC BY 4.0)
WARN gromov: only 1 image(s), need 2
WARN grothendieck: only 0 image(s), need 2
WARN hamilton: only 0 image(s), need 2
WARN hardy: only 0 image(s), need 2
WARN heron: only 0 image(s), need 2
WARN hilbert: only 0 image(s), need 2
WARN huygens: only 0 image(s), need 2
WARN hypatia: only 0 image(s), need 2
WARN jacobi: only 0 image(s), need 2
WARN kepler: only 0 image(s), need 2
WARN klein: only 0 image(s), need 2
WARN knuth: only 0 image(s), need 2
WARN kolmogorov: only 0 image(s), need 2
WARN kovalevskaya: only 0 image(s), need 2
WARN lagrange: only 0 image(s), need 2
WARN laplace: only 0 image(s), need 2
WARN lebesgue: only 0 image(s), need 2
WARN legendre: only 0 image(s), need 2
WARN leibniz: only 0 image(s), need 2
WARN lobachevsky: only 0 image(s), need 2
WARN lovasz: only 0 image(s), need 2
WARN mandelbrot: only 0 image(s), need 2
WARN markov: only 0 image(s), need 2
WARN minkowski: only 0 image(s), need 2
WARN mirzakhani: only 0 image(s), need 2
WARN napier: only 0 image(s), need 2
WARN nash: only 0 image(s), need 2
WARN newton: only 0 image(s), need 2
WARN noether: only 0 image(s), need 2
WARN omar_khayyam: only 0 image(s), need 2
WARN pascal: only 0 image(s), need 2
WARN peano: only 0 image(s), need 2
WARN perelman: only 0 image(s), need 2
WARN poincare: only 0 image(s), need 2
WARN pontryagin: only 0 image(s), need 2
WARN ptolemy: only 0 image(s), need 2
WARN pythagoras: only 0 image(s), need 2
WARN ramanujan: only 0 image(s), need 2
WARN regiomontanus: only 0 image(s), need 2
WARN riemann: only 0 image(s), need 2
WARN russell: only 0 image(s), need 2
WARN selberg: only 0 image(s), need 2
WARN serre: only 0 image(s), need 2
WARN shafarevich: only 0 image(s), need 2
WARN shannon: only 0 image(s), need 2
WARN sobolev: only 0 image(s), need 2
WARN tao: only 0 image(s), need 2
WARN thales: only 0 image(s), need 2
WARN torricelli: only 0 image(s), need 2
WARN turing: only 0 image(s), need 2
WARN vieta: only 0 image(s), need 2
WARN vinogradov: only 0 image(s), need 2
WARN von_neumann: only 0 image(s), need 2
WARN wallis: only 0 image(s), need 2
WARN weierstrass: only 0 image(s), need 2
WARN weil: only 0 image(s), need 2
WARN weyl: only 0 image(s), need 2
WARN wiener: only 0 image(s), need 2
WARN wiles: only 0 image(s), need 2
WARN witten: only 0 image(s), need 2
WARN zhu_shijie: only 0 image(s), need 2
OK (>=2): 1, partial: 1, skip/fail: 98
Total image bytes on disk (approx): 78 KB
